"Name", "Rating", "Description"
"Daikin Air Purifier Streamer","3.8 out of 5 stars","Air Purifier
"
"Philips AC4072 38-Watt Air Purifier (White)","2.9 out of 5 stars","Air purifier type - room
Purification method - high-efficiency particulate arrestant (hepa) filter type
Clean air delivery rate (cadr): 309 m3/hr
Cadr indicates the volume of purified air (in cubic mtrs) which an air purifier produces every hour
4-Step air quality indicators
Smart air quality sensor
Wattage: 38 watts
Includes: air purifier
"
"Philips GoPure Slimline 230 Car Air Purifier (Dark Grey)","2.8 out of 5 stars","Removes fine particles - PM 2.5 and toxic gases with a CADR of 10m3/hour
Refreshes your car air with natural fragrance (Jasmine flavour complimentary) and filter replacement indication / Automatic switch on/off button /3 fan speed modes and perfect in-car integration with installation in cup-holder and compact and stylish design made for high end cars.
Easy installation
Suitable for long distance travel with kids, pregnant women, allergy sufferers, asthmatic patients and pet owners
Certified by Airmid for Unique Philips Select Filter technology, which removes up to 90 percent airborne allergens based on one pass efficiency test
Removes dust, allergens, smoke, bacteria, viruses and odours from car in just 13 minutes
Real-time AQI information with number indication & 3 different colors of AQI levels
"
"Antique Buyer Car Humidifier Air Purifier Freshener with Dual USB Port (Multicolor)","2.4 out of 5 stars","Nanum is suitable for cigarette lighter in different locations of the vehicle.
360 degree rotation to make full humidification.
Auto-off after 2 hours
Donot add essential oil, check if there is little spring in the filter tube as the humidifier can not work without spring. Use wet cloth with alcohol to clean the metal sheets
Multi Color Will Be Shipped
"
"Crusaders Ozonator Refrigerator Purifier","5.0 out of 5 stars","Neutralizes the harmful molds and bacteria, promoting a clean environment inside your refrigerator.
Eliminates Odour in your Fridge
Dramatically reduces potential for spreading germs.
Keeps food fresher for longer time by delaying mold and decay of your perishable items
"
"Honelife Rechargeable UV Sterilizer Light Air Purifier DC5V Ultraviolet + Ozone UV Germicidal Lamp Portable Sterilization Light for Car Kitchen Toilet Cabinet Black","none","✤ Multiple Functions: Sterilization, disinfection, odor elimination and formaldehyde removal, effectively purify living environment.
✤ UVC + O3 Working Mode: UV disinfection combines with ozone deodorization, double sterilization for better effect.
✤ Portable for Use: Mini and portable size, convenient for carrying it with you anywhere, especially good for your trip.
✤ Rechargeable Design: Built-in 3.7V 500mAh polymer battery, you can charge it via the Micro USB interface.
✤ Wide Applications: Widely used in the car, kitchen, washroom, toilet, cabinet, closet, pets house, etc.
Warranty not applicable for this product
"
"Eureka Forbes Dr.Aeroguard SCPR 300 Air Purifier(Sleek & Portable with HEPA Filter, Activated Carbon Filter & 9-Stage Filtration)","3.2 out of 5 stars","Compact design allows the SCPR 300 to be placed wherever you require without any hassles.
With an air quality indicator that monitors ambient air, the SCPR 300 ensures you and your family is breathing pure and healthy air at all times.
One touch control makes the air purifier efficient and aesthetically appealing as well and also comes with 9-stage filtration ensures your indoor air is free of large particles, microorganisms, VOCs, odour, pet dander, etc.
Certified for the highest standards of air quality by gui-Lab Germany
Vita-ions release silver ions, vitamins, diatoms and negative ions to make sure the air you’re breathing is rejuvenating
"
"Elofic EAP-9903 Car Air Purifier for Raahe","5.0 out of 5 stars","Highly efficient composite filter media supported by PP frame
Particle efficiency > 99.9% at 0.5 μm
Higher effective filtration area
Ionic Purification system.
"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","4.7 out of 5 stars","Air Purifiers are 100% made in Korea Air Purifier Type- Sleek Air Purifier
Air Purifying Method: Green Anti-flu HEPA Technology. | Reddot Design Award Winner Coverage Area: 355 sq. ft / 33 sq. m. (Air Purifiers Most Suitable for Bed Rooms, Small Offices) | Clean Air Delivery Rate (CADR): 303 cubic m/hr (CADR is Volume of fresh, clean air given in an hour) | Super Silent Operation of Air Purifier
Unique Air Filtration Process- Pre Filter, Patented Urethane Carbon Filter (To Deodorize the air), Our Multi Layered Anti-Flu Green HEPA Filter effectively traps PM2.5 particles allowing only clean air to pass through Optimized Airflow: innovative flow path design allows for a slimmer air purifier design with more efficient and maximum airflow
One Touch Air Speed Adjustment: Four Speed Steps (1-3, Turbo) Real Time Air Quality Indicator: Clean, Low Pollution, Medium Pollution, High Pollution Longest Green Anti-flu HEPA Filter Life: 8500 hours Supply: 230 Volts, 50 Hz. | Power Consumption: 38 Watts. | Noise: 22-49 dB. | Dimensions (WHD): 335 x 686 x 204 mm | Gross Weight: 6.5 Kg
Warranty: 5 years on air purifier motor and 1 year on electrical parts
"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","4.4 out of 5 stars","JAPANESE QUALITY PRODUCTS – Sharp has sold 8 crore products worldwide, equipped with Plasmacluster technology and have been known to provide only original products with advanced Japanese technologies. As a part of our global commitment, Sharp confirm to supply spares and consumables (all replacement filters) for a period of 5 years after the product is discontinued in India.
DUAL PURIFICATION – Sharp Air purifier works on dual purification mode. This indoor air purifier has inbuilt Plasmacluster technology which is certified by 31 global labs and combination of three Passive filters i.e. Highest Grade H14 HEPA Filter, Voluminous Granular Active Carbon Filter and a Pre-Filter that purifies the air with its unique 20° airflow to cover the entire room.
ELEGANT DESIGN – The Sharp Air Purifier is designed in Japan and manufactured under strict quality control to ensure that the product compliments the look & feel required for your bedrooms or living spaces. Sharp certified as JAPAN & ASEAN NO. 1 by Euromonitor International Limited, 2018 brand helps reduces the intake of various toxins & pollutants with every breath.
INCREASED EFFICIENCY – This Air Purifier has superior purifying efficiency as it can clean and purify the air four times in one hour in a room of 200 square feet space. It is suitable for 24 x 7 x 365 days operation and can work full day without any interruptions even in case of non-ventilated room.
BEST IN CLASS FEATURES – Sharp air purifier offers highest grade materials made of ABS material to ensure safety for the users. It has a special HAZE function for Indian conditions. It also has an Auto-restart option, Auto and Manual modes, Dust & Odour sensor & low noise level. These features make this product an ideal choice for homes and thereby saving energy and electricity.
"
"Blueair Blue Pure 121 220-Watt Air Purifier (White)","3.7 out of 5 stars","Air Purifier Type - Room; Purification method - High-Efficiency Particulate Arrestant (HEPA) filter type
Clean Air Delivery Rate (CADR): 590 m3/hr; CADR indicates the volume of purified air (in cubic mtrs) which an air purifier produces every hour
Room size: 57 m2 . Warranty: 2 years on product
Air changes 5 times in a hour
Low noise, energy efficient with touch push button
360 degree air intake, draws air from all sides
Patent HEPA Silent technology
Wattage: 220 watts6Includes: Air purifier and Service manual
"
"Nirgandha Breathable Fabric Activated Charcoal Bag (Nirgandha03) - Pack of 3","5.0 out of 5 stars","Material:Breathable Fabric
Colour:Grey
ONE-250g, Suitable for Room/Wash Room size of 150sft, TWO - 70gx2 For one pair of Shoes
"
"Amigos Store™ Room Office Home Electric Air Purifier Humidifier Aroma Diffuser Room Freshner","4.5 out of 5 stars","Water based air purifier, air revitalise, air refresher, humidifier with Led light. Fashion and elegant green leaf cover design.
Uses professional hydro-purification technology for purification of air through water. Purifies the room air and improves the air quality.
Suitable for bedroom / living room (medium) / office conference room etc.
Removes Odor, Bacteria or any other air contaminants. Remove all kinds of air pollutants such as dust, pollen, peculiar smell, allergen, and formaldehyde of house decoration etc.
Releases fresh fragrant air for healthy breathing after adding aroma fragrance oil (not included in package).
"
"Autofy Universal Compact Box shaped Three Stage Air Purifier with built-in Ionizer for All Cars (Black and Silver)","none","Vehicle Compatibility: All Types of Cars with Car Charging Point
Health Benefits: Instrumental in protecting against air suspended bacteria, influenza virus, allergens, formaldehyde, etc. and is also useful in removing bad smell
3 Stage Purification: Premium quality filters have been installed to process 3 stage purification
Pre-filter primarily guards the successive filters by stopping dust and mites.
HEPA filter with Activated Carbon works in two ways, the HEPA filter removes impurities larger than 0.3 mm whereas, the activated Carbon removes cigarette smoke, xylene, formaldehyde, etc.
"
"Newtronics Room Office Home Electric Air Purifier Humidifier Aroma Diffuser Room Freshner with LED Light- Pink","3.2 out of 5 stars","Water based air purifier, air revitalisor, air refresher, humidifier with Led light. Fashion and elegant green leaf cover design.
Uses professional hydro-purification technology for purification of air through water. Purifes the room air and improves the air quality.
Removes Odour, Bacteria or any other air contaminants. Remove all kinds of air pollutants such as PM2.5, dust, pollen, peculiar smell, allergen, and formaldehyde of house decoration etc.
Releases fresh fragrant air for healthy breathing after adding aroma fragrance oil (not included in package).
a. Rated Voltage: 240V b. Rotating Speed: 2200-2300 rpm c. Lights Type: LEDs d. Size: 18.5*18.5*16CM e. Power: 10 to 16 W f. Noise: 20-35dB g. Air flow: 100 m3 / h. Certification: CE, RoHS
"
"HUMYDRY AIR FRESHNER for Fridge","none","Humydry odor absorber for the fridge.
100%c Natural activated charcoal.
Remove bad odors from fish,cheese, veggies, poultry,etc.
Work without electricity or battery
Fragrance free, It freshen up to 90 days.
"
"Air Purifier, Portable Ozone Generator for 200 Sq Household&Office, Quiet Mini Air Purifier With USB Cable(5V, Blue)","none","Noise not exceeding 35dB (A), quiet while working, reliable in use.
Inhibit harmful bacteria in the air remove odors and freshen room air.
Strong power, 600 times more than antibiotics and 3,000 times more than ultraviolet light. Comprehensive effect.
600mA battery, long life, long endurance, constant care for healthy.
24-hour cyclic working mode (10 minutes work time, shutdown after 30 minutes).
Warranty not applicable for this product
"
"Livpure Chrome 40-Watt Air Purifier with Remote and Composite Filter (White)","3.9 out of 5 stars","Suitable for office, cabin and house
Control type touch button and remote, Ionizer: Yes
Filters and remotes are not covered under warranty
Warranty: 1 year warranty provided by the manufacturer from date of purchase
Power: 40 watts
Includes: Air Purifier, Remote, Composite Filter and User Manual
"
"TruSens Z-3000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Large)","3.6 out of 5 stars","TruSens of USA; TruSens Air Purifiers received distinction for high design quality in the Red Dot Award: Product Design 2019
Warranty: 2 Years Local Manufacturer Warranty (Refer to Product Details for more info)
SMARTER SENSING: Our remote SensorPod monitors the air quality and take action. Placed across the room, SensorPod communicates back to the TruSens purifier so it can automatically adjust its fan speed
CAPTURES AND DESTROYS POLLUTANTS: 360-degree DuPont filtration captures pollutants such as allergens, VOC gases and microscopic particles.
UltraViolet sterilization destroys germs and viruses that can build up on the filter, preventing re-circulation of live germs.
DUAL AIRFLOW: Pure direct proprietary technology splits clean air into two air streams, delivering purified air more comfortably and efficiently throughout the room. Proven to be 24% more efficient.
DETAILED LED DISPLAY: The illuminated, colour-coded display communicates good (blue), moderate (yellow) or poor (red) air quality and a numeric value provides a greater level of detail.
DESIGNED FOR YOU: Our air purifiers were designed with a simple touch controls for all the functions that matter most, including fan speeds, auto-timer, UV mode and filter replacement indicators.
TOTAL ROOM COVERAGE: Most purifiers only shoot air either vertically or straight out. TruSens PureDirect proprietary technology uses two separate airflow streams to maximise air circulation.
For customer support, please contact us at [ 7304419327 ] or [ india.info@acco.com ] from Monday - Friday, 7.00 AM - 3.30 PM
"
"TruSens Z-1000 Air Purifier | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Small)","3.7 out of 5 stars","TruSens of USA; TruSens Air Purifiers received distinction for high design quality in the Red Dot Award: Product Design 2019
Warranty: 2 Years Local Manufacturer Warranty (Refer to Product Details for more info)
CAPTURES AND DESTROYS POLLUTANTS: 360-degree DuPont filtration captures pollutants such as allergens, voc gases and microscopic particles with our 4 levels of purification
UltraViolet sterilization destroys germs and viruses that can build up on the filter, preventing re-circulation of live germs
DUAL AIRFLOW: Pure direct proprietary technology splits clean air into two air streams, delivering purified air more comfortably and efficiently throughout the room Proven to be 24% more efficient
TOTAL ROOM COVERAGE: Most purifiers only shoot air either vertically or straight out TruSens PureDirect proprietary technology uses two separate airflow streams to maximise air circulation
DESIGNED FOR YOU: Our air purifiers were designed with a simple touch controls for all the functions that matter most, including fan speeds, auto-timer, UV mode and filter replacement indicators
From quiet speed to Turbo cleaning mode, the Z-1000 has been carefully optimized to deliver cleaner air
TRUSENS: Simple is smart Simple is clear Simple makes sense Designing products that work better for you and fit into your lifestyle is important to us It’s what keeps us moving forward
For customer support, please contact us at [ 7304419327 ] or [ india.info@acco.com ] from Monday - Friday, 7.00 AM - 3.30 PM
"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","4.3 out of 5 stars","Automatically senses and reports air quality levels (PM 2.5, PM 10, VOC, NO2 & overall AQI) on LCD screen and Dyson Link App in real-time; only purifier to report ALL of these separately.
360 degrees Glass HEPA Filter & Tris Impregnated Activated Carbon Filter capture 99.95% of harmful ultra-fine pollutants & allergens as small as PM 0.1.
Patented Air MultiplierTM technology projects over 360 litres of purified air per second across your whole room
350 degrees oscillation ensures proper circulation throughout the room; personalized angle feature
Suitable for medium to large size rooms with coverage area of upto 600 sq.ft.
Energy efficient; Wattage : 40W (at max. setting), Airflow max settings: 361 l/s
Warranty - 2 years. Parts and Labour. Easy returns.
Certified Asthma & Allergy Friendly by AAFA (Asthma and Allergy Foundation of America)
Diffused mode, 10 speed settings, Auto mode, Night mode, Sleep timer, Wi-Fi & Bluetooth enabled. Easy filter change with notification on app / LCD screen when any of the filters need replacement.
Please contact us on: [ 18002586688 ] to avail Free Installation & Setup services or for any other support
Warranty: 2 year international warranty
Power: 40 watts
Includes: Air Purifier, Remote, Power Supply Adapter
"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","4.3 out of 5 stars","Automatically senses and reports air quality levels (PM 2.5, PM 10, VOC, NO2 & overall AQI) on LCD screen and Dyson Link App in real-time; only purifier to report ALL of these separately.
360 degrees Glass HEPA Filter & Tris Impregnated Activated Carbon Filter capture 99.95% of harmful ultra-fine pollutants & allergens as small as PM 0.1.
Patented Air MultiplierTM technology projects over 360 litres of purified air per second across your whole room
350 degrees oscillation ensures proper circulation throughout the room; personalized angle feature
Suitable for medium to large size rooms with coverage area of upto 600 sq.ft.
Energy efficient; Wattage : 40W (at max. setting), Airflow max settings: 361 l/s
Warranty - 2 years. Parts and Labour. Easy returns.
Certified Asthma & Allergy Friendly by AAFA (Asthma and Allergy Foundation of America)
Diffused mode, 10 speed settings, Auto mode, Night mode, Sleep timer, Wi-Fi & Bluetooth enabled. Easy filter change with notification on app / LCD screen when any of the filters need replacement.
Please contact us on: [ 18002586688 ] to avail Free Installation & Setup services or for any other support
Warranty: 2 year international warranty
Power: 40 watts
Includes: Air Purifier, Remote, Power Supply Adapter
"
"PranaVital HEPA Composite Filter, Black","none","Colour: Black
For Multifunctional Smart Air Purifier
Composite Filter
"
"Livpure Chrome 40-Watt Air Purifier with Remote and Composite Filter (White)","3.9 out of 5 stars","Suitable for office, cabin and house
Control type touch button and remote, Ionizer: Yes
Filters and remotes are not covered under warranty
Warranty: 1 year warranty provided by the manufacturer from date of purchase
Power: 40 watts
Includes: Air Purifier, Remote, Composite Filter and User Manual
"
"BPL Limited AP-03 5-Watt Room Air Purifier (Black)","4.1 out of 5 stars","Digital Control Panel
4 Stage Air purification
CADR:192 m3/h
Auto, Manual & Sleep Operational Modes
Five timer Functions: Continuous/1/2/4/8/ Hour
360 Degree Air flow output
4 fan Speed: low/medium/high/sleep
Air Quality sensors
Negative ion output: 20 Million Pcs/cm3
Ultraviolet Power: 5W
Noise: 48dB Max.
Warranty: 1 year on product
Power Consumption:60 Watts(Max.)
Operating Voltage: 220v AC,50Hz
Includes: Air purifier,User manual and Remote
"
"Blueair 211 Air Purifier Filter (White)","5.0 out of 5 stars","Patent HEPA silent TM technology
Patent technology
Filtration 0.1 micron
Warranty: No warranty is applicable on this product
Includes: Air Purifier Filter
"
"Smart Air DIY Air Purifier (150 sq. Ft) (White)","3.9 out of 5 stars","H13 HEPA filter air purifier with pre-filter
150 sq-Ft coverage, super effective against particulate matter taking 60 minutes to bring PM2. 5 levels to a safe level (starting at 100 ug/m3)
50W motor, large knob 3-speed control, Easy to use, plug and play, DIY filter
Great for allergies and asthmatics. Will remove pollen, pet dander, PM2. 5, PM10, dust, hair, other airborne particles
"
"Airspa With Device Car Air Purifier With Hepa & Ioniser - Ce, Rohs & Iso 9001:2015 Certified","3.5 out of 5 stars","Cadr (Air Flow): 7M³
360Ã‚° High Efficient Hepa Filter,Filter: Hepa Filter
Filter System: Active Loader Waylay Filter. Voltage: Dc10-15W, 300-500Ma
Anion: 50Million/Cm³ . Benzene And Pm2.5, Remove Formaldehyde
Weight: 250 Gm, 1 Year Warranty
"
"Mann-Filter FC 301 Car Air Purifier (1000 g)","3.3 out of 5 stars","Protection against – PM 2.5, Micro Organisms, Harmful gases (Formaldehyde & other VOCs).
Removes odors & cigarette smoke.
4 times faster clean air delivery rate (CADR) – healthy air within 2 minutes with HEVA technology.
Integrated Air Quality Sensor with USB Port for charging your other gadgets.
Accessories: 12V Power cable – 4 mtrs long, 2 installation accessories – strap with buckle, hook and loop fastener. Product comes with 1 year warranty.
"
"Parkpure Atom Blue Air Purifier","3.8 out of 5 stars","Powerful Car Ionizer releases upto 4.8 Million Anions that eliminate PM2.5 particles such as smoke, dust, pollen etc.
Removes Cigarette Smoke, Air Pollution, Pollen and Dust by releasing healthy Anions
Plugs into the Car Adaptor and begins cleaning the air immediately. No filter Replacement/Maintainance Required!
Cool Blue LED gives an Ambient lighting to the vehicle at night
Internationally Certificatied by CE, FCC, RoHS
"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","4.7 out of 5 stars","Air Purifiers are 100% made in Korea Air Purifier Type- Sleek Air Purifier
Air Purifying Method: Green Anti-flu HEPA Technology. | Reddot Design Award Winner Coverage Area: 355 sq. ft / 33 sq. m. (Air Purifiers Most Suitable for Bed Rooms, Small Offices) | Clean Air Delivery Rate (CADR): 303 cubic m/hr (CADR is Volume of fresh, clean air given in an hour) | Super Silent Operation of Air Purifier
Unique Air Filtration Process- Pre Filter, Patented Urethane Carbon Filter (To Deodorize the air), Our Multi Layered Anti-Flu Green HEPA Filter effectively traps PM2.5 particles allowing only clean air to pass through Optimized Airflow: innovative flow path design allows for a slimmer air purifier design with more efficient and maximum airflow
One Touch Air Speed Adjustment: Four Speed Steps (1-3, Turbo) Real Time Air Quality Indicator: Clean, Low Pollution, Medium Pollution, High Pollution Longest Green Anti-flu HEPA Filter Life: 8500 hours Supply: 230 Volts, 50 Hz. | Power Consumption: 38 Watts. | Noise: 22-49 dB. | Dimensions (WHD): 335 x 686 x 204 mm | Gross Weight: 6.5 Kg
Warranty: 5 years on air purifier motor and 1 year on electrical parts
"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","4.4 out of 5 stars","JAPANESE QUALITY PRODUCTS – Sharp has sold 8 crore products worldwide, equipped with Plasmacluster technology and have been known to provide only original products with advanced Japanese technologies. As a part of our global commitment, Sharp confirm to supply spares and consumables (all replacement filters) for a period of 5 years after the product is discontinued in India.
DUAL PURIFICATION – Sharp Air purifier works on dual purification mode. This indoor air purifier has inbuilt Plasmacluster technology which is certified by 31 global labs and combination of three Passive filters i.e. Highest Grade H14 HEPA Filter, Voluminous Granular Active Carbon Filter and a Pre-Filter that purifies the air with its unique 20° airflow to cover the entire room.
ELEGANT DESIGN – The Sharp Air Purifier is designed in Japan and manufactured under strict quality control to ensure that the product compliments the look & feel required for your bedrooms or living spaces. Sharp certified as JAPAN & ASEAN NO. 1 by Euromonitor International Limited, 2018 brand helps reduces the intake of various toxins & pollutants with every breath.
INCREASED EFFICIENCY – This Air Purifier has superior purifying efficiency as it can clean and purify the air four times in one hour in a room of 200 square feet space. It is suitable for 24 x 7 x 365 days operation and can work full day without any interruptions even in case of non-ventilated room.
BEST IN CLASS FEATURES – Sharp air purifier offers highest grade materials made of ABS material to ensure safety for the users. It has a special HAZE function for Indian conditions. It also has an Auto-restart option, Auto and Manual modes, Dust & Odour sensor & low noise level. These features make this product an ideal choice for homes and thereby saving energy and electricity.
"
"PranaVital Prana180 Home Air purfier","5.0 out of 5 stars","Motor unit is equipped with rolling bearing to extend the life of product and reduce the level of noise during the operation
3000-hour filter replacement remind function: Product Price INR 7699
PM 2 .5 indicator indicates the high concentration of PM 2.5 in the air
Purifying efficiency 150 to 180 m3 /h; Perfect for room from 35 m3 to 50 m3
LED display: 1. Excellent air-quality good air quality bad air-quality. 2. reducing formaldehyde 3. speed level 4. sleeping mode & auto mode 5. Negative Ionization (Anions) 6. Timer 7 Temperature
"
"Ozonizer Fruit And Vegetable Cleaner Air Purifier Machine Remover Pesticide Toxin","none","Vegetable & Fruit Purifier has a sleek and modern design.
It can be mounted on a wall or can be placed on a counter.
Multi-purpose usage as air purifier, water purifier, cloth washing, skin caring, pesticides removing
Easy to use.It is compact and portable.
Low power consumptionEco friendly
"
"The Sqair – Chemical Warfare","4.7 out of 5 stars","This version comes along with carbon filter (and HEPA) which filters harmful VOCs and formaldehyde like Odor, Paints, Chemical, Smoke.
Clean Air Delivery Rate (CADR): 315 m3/hr. Unique design allows for 360º air circulation, while taking up less space than a bedside lamp.
Extra Thick HEPA: The Sqairs HEPA filter captures mold, viruses, bacteria, PM2.5, and pollen exceptionally well. It captures nanoparticles too with 1.5 m2 of HEPA material equivalent to 22x A4 sheets. Carbon Filter: It helps intrapping unwanted smells, toxic fumes and other volatile organic compounds (VOCs).
Quiet: 23 to 53 dB (lowest to highest) and Wattage: 6 to 38 watts (lowest to highest fan speed)
Coverage area: 430 sq. ft. / 40 sq. meters., especially suitable for large bedrooms and living rooms.
"
"TruSens Z-1000 Replacement Carbon Filter + HEPA Filter (Bundle)","none","This bundle includes a box of replacement carbon filter and HEPA filter for TruSens Z-1000 air purifier
For best results, replace carbon filter every 3-4 months and HEPA filter every 12-15 months
Change indicator light is displayed on purifier when filter needs to be replaced
EASY TO USE: Access filters simply by loosening the knob at the bottom of the air purifier
REIMAGINE CLEAN AIR: Take a breath of fresh air with TruSens. With our 360 Filtration system, the activated carbon filter and HEPA drum filter help capture the invisible impurities lingering in your home to efficiently deliver purified air around your room
REMOVES ODORS, GASES, DUST + PET HAIR: The activated carbon prefilter captures odors and gases from the air and acts as the first level of defense against dust and pet hair
REMOVES POLLUTANTS: TruSens HEPA filter removes pollutants as small as 0.3 microns  thats roughly 30 times smaller than a strand of hair. Draws in the air from all directions, collecting pollutants such basic household odors and airborne allergens
For any queries, please contact_us on: [7304419327] from Monday - Friday, 7.00 AM - 3.30 PM
HEPA FILTER: The TruSens combination filter has been engineered to collect microscopic particles, allergens and volatile organic components (VOCs), and odorous gases
Only compatible with TruSens Z-1000 Air Purifier
"
"NuvoMed Desktop 3-in-1 Ionic Air Purifier with Hepa Filter and inbuilt Ionizer (White)","2.1 out of 5 stars","Desktop 3-in-1 ionic air purifier with hepa filter
Built-in high grade removable hepa filter
Hepa filter removes 99 percent of air impurities such as dust, pollen, smoke, bad odors, mold and pet dander
Less airborne allergies and pollutants creates healthier and safe environment
Perfect for people who suffer from allergies
Warranty: 1 year warranty provided by the manufacturer from date of purchase
Includes: Desktop Air Purifier 1N, Cable 1N
"
"TruSens Z-3000 Air Purifier + Replacement HEPA Filter (Bundle)","5.0 out of 5 stars","This bundle includes a unit of TruSens Z-3000 air purifier and a box of replacement HEPA filter
Contemporary air purifier combines DuPont filtration with a unique approach to delivering cleaner air
SMARTER SENSING: Our remote SensorPod monitors the air quality and take action. Placed across the room, SensorPod communicates back to the TruSens purifier so it can automatically adjust its fan speed
CAPTURES AND DESTROYS POLLUTANTS: 360-degree DuPont filtration captures pollutants such as allergens, VOC gases and microscopic particles.
UltraViolet sterilization destroys germs and viruses that can build up on the filter, preventing re-circulation of live germs.
DETAILED LED DISPLAY: The illuminated, colour-coded display communicates good (blue), moderate (yellow) or poor (red) air quality and a numeric value provides a greater level of detail.
DUAL AIRFLOW: Pure direct proprietary technology splits clean air into two air streams, delivering purified air more comfortably and efficiently throughout the room. Proven to be 24% more efficient.
For customer support, please contact_us on: [7304419327] from Monday - Friday, 7.00 AM - 3.30 PM
REPLACEMENT FILTER: HEPA filter lasts up to 12-15 months; Change indicator light is displayed on purifier when filter needs to be replaced
AIR PURIFIER WARRANTY: 2 Years Local Manufacturer Warranty
"
"Smart Air, H12 HEPA Filter (White)","3.9 out of 5 stars","H12 HEPA Filters with pre-filter
295 x 295 mm
Will trap PM2.5 and other air pollutants such as PM10, dust, allergens
1000 hours life
"
"Portable UV Light Sanitizer Wand Ultraviolet Disinfection Lamp Handheld Mini UV-C Light Sterilizer for Travel Home Hotel Wardrobe Toilet Car Pet Area 1Pack","none","【EFFICIENT STERILIZATION】Anti-germ Rate 99.9%, It destroys the DNA structure of germ and other microorganisms to lose the ability to reproduce, and then destory germ and other microbes. No chemical residue in ultraviolet irradiation will not damage any materials.
【CAREFULLY NOTE】The light will never turn on if it is point towards you or right, left or in front. So please do not assume that the product is faulty.
【SAFETY FIRST】An internal mechanism that turns the wand off automatically when the UV lamp faces upwards. Do not point at people or animals during use to ensure safety!
【WIDELY USED】According to the approved laboratory research, the ultraviolet disinfection stick can kill 99.99% of germ.It can be used in mobile phones, iPads, keyboards, laptops, toys, toothbrushes, remote controls, door handles, toilet covers, mugs, steering wheels, hotel and family closets, toilets and pet areas to achieve all-round anti germ!
【EASY TO CARRY】Compact size: 239*48*40mm. Weight: 200g. USB power. Easy to carry and put in your handbag, No matter where you go, you can make sure that you live in a clean environment.
"
"TruSens Z-3000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Large)","3.6 out of 5 stars","TruSens of USA; TruSens Air Purifiers received distinction for high design quality in the Red Dot Award: Product Design 2019
Warranty: 2 Years Local Manufacturer Warranty (Refer to Product Details for more info)
SMARTER SENSING: Our remote SensorPod monitors the air quality and take action. Placed across the room, SensorPod communicates back to the TruSens purifier so it can automatically adjust its fan speed
CAPTURES AND DESTROYS POLLUTANTS: 360-degree DuPont filtration captures pollutants such as allergens, VOC gases and microscopic particles.
UltraViolet sterilization destroys germs and viruses that can build up on the filter, preventing re-circulation of live germs.
DUAL AIRFLOW: Pure direct proprietary technology splits clean air into two air streams, delivering purified air more comfortably and efficiently throughout the room. Proven to be 24% more efficient.
DETAILED LED DISPLAY: The illuminated, colour-coded display communicates good (blue), moderate (yellow) or poor (red) air quality and a numeric value provides a greater level of detail.
DESIGNED FOR YOU: Our air purifiers were designed with a simple touch controls for all the functions that matter most, including fan speeds, auto-timer, UV mode and filter replacement indicators.
TOTAL ROOM COVERAGE: Most purifiers only shoot air either vertically or straight out. TruSens PureDirect proprietary technology uses two separate airflow streams to maximise air circulation.
For customer support, please contact us at [ 7304419327 ] or [ india.info@acco.com ] from Monday - Friday, 7.00 AM - 3.30 PM
"
